year,month,year_month,gender,usertype,age,number_trips,tripduration
2015,10,2015-10,1,Subscriber,70,19,13269
2015,10,2015-10,1,Subscriber,71,4,1803
2015,10,2015-10,1,Subscriber,72,1,152
2015,10,2015-10,1,Subscriber,73,16,12846
2015,10,2015-10,1,Subscriber,74,2,727
2015,10,2015-10,1,Subscriber,76,17,21288
2015,10,2015-10,1,Subscriber,79,7,2232
2015,10,2015-10,1,Subscriber,80,3,1646
2015,10,2015-10,1,Subscriber,120,4,2140
2015,10,2015-10,2,Subscriber,24,62,27135
2015,10,2015-10,2,Subscriber,26,5,3886
2015,10,2015-10,2,Subscriber,27,38,21340
2015,10,2015-10,2,Subscriber,28,22,23965
2015,10,2015-10,2,Subscriber,29,140,90025
2015,10,2015-10,2,Subscriber,30,145,82689
2015,10,2015-10,2,Subscriber,31,219,191861
2015,10,2015-10,2,Subscriber,32,154,97777
2015,10,2015-10,2,Subscriber,33,246,132665
2015,10,2015-10,2,Subscriber,34,224,136364
2015,10,2015-10,2,Subscriber,35,302,371366
2015,10,2015-10,2,Subscriber,36,258,130082
2015,10,2015-10,2,Subscriber,37,239,147813
2015,10,2015-10,2,Subscriber,38,234,202167
2015,10,2015-10,2,Subscriber,39,321,201378
2015,10,2015-10,2,Subscriber,40,117,71812
2015,10,2015-10,2,Subscriber,41,60,47339
2015,10,2015-10,2,Subscriber,42,145,85538
2015,10,2015-10,2,Subscriber,43,197,182742
2015,10,2015-10,2,Subscriber,44,91,93354
2015,10,2015-10,2,Subscriber,45,77,45925
2015,10,2015-10,2,Subscriber,46,63,41392
2015,10,2015-10,2,Subscriber,47,29,19782
2015,10,2015-10,2,Subscriber,48,97,150599
2015,10,2015-10,2,Subscriber,49,110,89004
2015,10,2015-10,2,Subscriber,50,80,53698
2015,10,2015-10,2,Subscriber,51,34,28435
2015,10,2015-10,2,Subscriber,52,32,46109
2015,10,2015-10,2,Subscriber,53,33,91260
2015,10,2015-10,2,Subscriber,54,18,12580
2015,10,2015-10,2,Subscriber,55,29,15176
2015,10,2015-10,2,Subscriber,56,113,160388
2015,10,2015-10,2,Subscriber,57,49,32152
2015,10,2015-10,2,Subscriber,58,58,69218
2015,10,2015-10,2,Subscriber,59,11,65472
2015,10,2015-10,2,Subscriber,60,22,19785
2015,10,2015-10,2,Subscriber,61,75,55531
2015,10,2015-10,2,Subscriber,62,21,20412
2015,10,2015-10,2,Subscriber,63,34,61246
2015,10,2015-10,2,Subscriber,64,13,5846
2015,10,2015-10,2,Subscriber,66,18,65074
2015,10,2015-10,2,Subscriber,67,1,598
2015,10,2015-10,2,Subscriber,68,4,2081
2015,10,2015-10,2,Subscriber,71,9,7327
2015,11,2015-11,0,Customer,,1235,8423830
2015,11,2015-11,0,Subscriber,27,15,8620
2015,11,2015-11,0,Subscriber,39,1,399
2015,11,2015-11,0,Subscriber,40,3,1545
2015,11,2015-11,0,Subscriber,45,2,1082
2015,11,2015-11,0,Subscriber,47,1,435
2015,11,2015-11,1,Subscriber,21,8,6099
2015,11,2015-11,1,Subscriber,22,1,1522
2015,11,2015-11,1,Subscriber,24,1,1346
2015,11,2015-11,1,Subscriber,25,5,3171
2015,11,2015-11,1,Subscriber,26,17,11639
2015,11,2015-11,1,Subscriber,27,25,17413
2015,11,2015-11,1,Subscriber,28,187,87761
2015,11,2015-11,1,Subscriber,29,269,246248
2015,11,2015-11,1,Subscriber,30,312,154644
2015,11,2015-11,1,Subscriber,31,420,221594
2015,11,2015-11,1,Subscriber,32,356,217805
2015,11,2015-11,1,Subscriber,33,376,244708
2015,11,2015-11,1,Subscriber,34,448,261772
2015,11,2015-11,1,Subscriber,35,455,260161
2015,11,2015-11,1,Subscriber,36,600,324120
2015,11,2015-11,1,Subscriber,37,523,268131
2015,11,2015-11,1,Subscriber,38,406,204933
2015,11,2015-11,1,Subscriber,39,594,244604
2015,11,2015-11,1,Subscriber,40,697,283196
2015,11,2015-11,1,Subscriber,41,425,176667
2015,11,2015-11,1,Subscriber,42,313,140680
2015,11,2015-11,1,Subscriber,43,336,166983
2015,11,2015-11,1,Subscriber,44,654,380536
2015,11,2015-11,1,Subscriber,45,203,141399
2015,11,2015-11,1,Subscriber,46,141,95926
2015,11,2015-11,1,Subscriber,47,230,109129
2015,11,2015-11,1,Subscriber,48,314,294392
2015,11,2015-11,1,Subscriber,49,138,58689
2015,11,2015-11,1,Subscriber,50,287,167253
2015,11,2015-11,1,Subscriber,51,207,244045
2015,11,2015-11,1,Subscriber,52,265,167902
2015,11,2015-11,1,Subscriber,53,109,71070
2015,11,2015-11,1,Subscriber,54,73,54029
2015,11,2015-11,1,Subscriber,55,91,117034
2015,11,2015-11,1,Subscriber,56,96,32295
2015,11,2015-11,1,Subscriber,57,194,126868
2015,11,2015-11,1,Subscriber,58,137,103753
2015,11,2015-11,1,Subscriber,59,71,32350
2015,11,2015-11,1,Subscriber,60,207,139807
2015,11,2015-11,1,Subscriber,61,55,53289
2015,11,2015-11,1,Subscriber,62,28,19354
2015,11,2015-11,1,Subscriber,63,36,291396
2015,11,2015-11,1,Subscriber,64,129,75480
2015,11,2015-11,1,Subscriber,65,20,16674
2015,11,2015-11,1,Subscriber,66,103,109491
2015,11,2015-11,1,Subscriber,67,26,10374
2015,11,2015-11,1,Subscriber,68,19,21257
2015,11,2015-11,1,Subscriber,69,32,28256
2015,11,2015-11,1,Subscriber,70,29,20021
2015,11,2015-11,1,Subscriber,71,19,11394
2015,11,2015-11,1,Subscriber,73,4,2920
2015,11,2015-11,1,Subscriber,74,2,942
2015,11,2015-11,1,Subscriber,76,4,5193
2015,11,2015-11,1,Subscriber,79,21,7210
2015,11,2015-11,2,Subscriber,24,13,11702
2015,11,2015-11,2,Subscriber,25,2,2475
2015,11,2015-11,2,Subscriber,26,9,5090
2015,11,2015-11,2,Subscriber,27,16,9837
2015,11,2015-11,2,Subscriber,28,10,8025
2015,11,2015-11,2,Subscriber,29,86,56103
2015,11,2015-11,2,Subscriber,30,130,75610
2015,11,2015-11,2,Subscriber,31,166,83327
2015,11,2015-11,2,Subscriber,32,166,86864
2015,11,2015-11,2,Subscriber,33,160,79239
2015,11,2015-11,2,Subscriber,34,160,84962
2015,11,2015-11,2,Subscriber,35,214,114565
2015,11,2015-11,2,Subscriber,36,218,187950
2015,11,2015-11,2,Subscriber,37,164,80882
2015,11,2015-11,2,Subscriber,38,130,49169
2015,11,2015-11,2,Subscriber,39,230,109248
2015,11,2015-11,2,Subscriber,40,111,47873
2015,11,2015-11,2,Subscriber,41,37,31335
2015,11,2015-11,2,Subscriber,42,126,57497
2015,11,2015-11,2,Subscriber,43,148,136929
2015,11,2015-11,2,Subscriber,44,68,41921
2015,11,2015-11,2,Subscriber,45,68,31540
2015,11,2015-11,2,Subscriber,46,15,5195
